#This is a finding list from vkny
   7.8331 Na11  2  4 9.30E-03
   7.8333 Na11  2  2 4.65E-03
   7.8505 Mg11  1  3 1.51E-01
   7.9859 Fe24  2  4 6.45E-02
   7.9962 Fe24  2  2 3.22E-02
   8.0209 Na11  2  4 1.93E-02
   8.0214 Na11  2  2 9.67E-03
   8.3029 Fe23  1  3 1.79E-01
   8.4192 Mg12  2  4 2.77E-01
   8.4246 Mg12  2  2 1.39E-01
   8.4591 Na11  2  4 5.27E-02
   8.4603 Na11  2  2 2.63E-02
   8.4670 Fe21  1  3 2.36E-02
   8.5210 Fe21  3  3 5.86E-03
   8.5417 Na10  1  3 3.18E-03
   8.5520 Fe21  5  3 5.83E-03
   8.5580 Fe21  5  7 6.01E-02
   8.5605 Na10  1  3 4.40E-03
   8.5730 Fe21  1  3 7.14E-02
   8.5869 Na10  1  3 6.30E-03
   8.6257 Na10  1  3 9.50E-03
   8.6270 Fe21  3  3 1.77E-02
   8.6600 Fe21  5  3 7.07E-04
   8.6862 Na10  1  3 1.53E-02
   8.7884 Na10  1  3 2.72E-02
   8.9800 Fe22  2  4 1.25E-01
   8.9828 Na10  1  3 5.63E-02
   9.0500 Fe22  2  2 3.91E-03
   9.0510 Fe20  4  2 2.37E-02
   9.0510 Fe20  4  4 4.74E-02
   9.0700 Fe22  4  4 1.25E-02
   9.0700 Fe22  4  6 1.12E-01
   9.1490 Fe20  4  6 7.03E-02
   9.1500 Fe22  4  2 3.87E-03
   9.1688 Mg11  1  3 7.42E-01
   9.1936 Ne10  2  2 5.35E-04
   9.1936 Ne10  2  4 1.07E-03
   9.2154 Ne10  2  4 1.48E-03
   9.2155 Ne10  2  2 7.38E-04
   9.2461 Ne10  2  4 2.12E-03
   9.2462 Ne10  2  2 1.06E-03
   9.2900 Fe19  5  3 9.51E-05
   9.2912 Ne10  2  4 3.21E-03
   9.2913 Ne10  2  2 1.60E-03
   9.3400 Fe19  5  7 3.16E-02
   9.3560 Fe21  1  3 6.24E-02
   9.3600 Fe19  1  3 9.44E-03
   9.3616 Ne10  2  4 5.20E-03
   9.3617 Ne10  2  2 2.60E-03
   9.3700 Fe19  3  3 2.36E-03
   9.4210 Fe21  3  3 1.55E-02
   9.4330 Na10  1  3 1.50E-01
   9.4600 Fe21  5  3 1.54E-02
   9.4760 Fe21  1  3 1.90E-01
   9.4807 Ne10  2  4 9.30E-03
   9.4809 Ne10  2  2 4.65E-03
   9.4820 Fe21  5  7 1.59E-01
   9.5180 Fe21  3  5 2.56E-02
   9.5200 Fe19  5  3 2.76E-03
   9.5200 Fe19  5  7 2.86E-02
   9.5430 Fe21  3  3 4.69E-02
   9.5480 Fe21  3  5 1.41E-01
   9.5580 Fe21  5  5 4.58E-02
   9.5700 Fe19  5  3 3.39E-04
   9.5830 Fe21  5  3 1.87E-03
   9.5880 Fe21  5  5 2.81E-02
   9.5900 Fe19  1  3 1.10E-02
   9.6100 Fe19  3  3 2.74E-03
   9.6300 Fe21  1  3 9.80E-03
   9.6400 Fe19  1  3 3.37E-02
   9.6500 Fe19  3  3 8.41E-03
   9.6800 Fe19  5  5 5.84E-03
   9.6800 Fe19  5  7 3.27E-02
   9.7000 Fe21  3  3 2.43E-03
   9.7080 Ne10  2  4 1.93E-02
   9.7085 Ne10  2  2 9.67E-03
   9.7400 Fe21  5  3 2.42E-03
   9.7700 Fe19  3  5 2.89E-02
   9.8100 Fe19  5  7 5.39E-02
   9.8800 Fe18  4  4 1.59E-03
   9.8800 Fe18  4  2 3.35E-03
   9.9800 Fe18  2  4 1.57E-02
   9.9800 Fe18  2  2 1.32E-02
   9.9910 Fe20  4  2 6.42E-02
   9.9910 Fe20  4  4 1.28E-01
  10.0232 Na11  2  4 2.77E-01
  10.0286 Na11  2  2 1.39E-01
  10.0300 Fe18  4  6 4.92E-02
  10.1200 Fe20  4  6 1.90E-01
  10.1200 Fe17  1  3 5.05E-02
  10.1750 Fe23  1  3 3.30E-02
  10.2385 Ne10  2  4 5.27E-02
  10.2396 Ne10  2  2 2.63E-02
  10.3300 Fe18  4  4 3.96E-03
  10.3300 Fe18  4  2 7.81E-03
  10.3300 Fe18  4  4 3.91E-02
  10.3700 Fe18  4  4 1.97E-02
  10.4400 Fe18  2  4 3.92E-02
  10.4400 Fe18  2  4 1.55E-02
  10.4400 Fe18  2  2 3.09E-02
  10.4900 Fe18  2  4 7.82E-03
  10.5130 Ne 9  1  3 6.28E-03
  10.5200 Fe18  4  6 7.85E-02
  10.5600 Fe23  1  3 4.32E-02
  10.5650 Ne 9  1  3 9.47E-03
  10.6190 Fe24  2  4 2.61E-01
  10.6426 Ne 9  1  3 1.53E-02
  10.6630 Fe24  2  2 1.31E-01
  10.7643 Ne 9  1  3 2.71E-02
  10.9810 Fe23  1  3 6.95E-01
  11.0003 Ne 9  1  3 5.61E-02
  11.0027 Na10  1  3 7.34E-01
  11.0200 Fe17  1  3 9.35E-02
  11.1300 Fe17  1  3 3.46E-01
  11.3529 F  9  2  2 5.35E-04
  11.3529 F  9  2  4 1.07E-03
  11.3798 F  9  2  4 1.48E-03
  11.3799 F  9  2  2 7.38E-04
  11.4177 F  9  2  4 2.12E-03
  11.4178 F  9  2  2 1.06E-03
  11.4400 Fe22  2  4 3.28E-01
  11.4600 Fe22  4  6 2.95E-01
  11.4734 F  9  2  4 3.21E-03
  11.4735 F  9  2  2 1.60E-03
  11.5100 Fe22  2  4 5.38E-02
  11.5466 Ne 9  1  3 1.49E-01
  11.5603 F  9  2  4 5.20E-03
  11.5604 F  9  2  2 2.60E-03
  11.6000 Fe22  4  4 3.23E-02
  11.6200 Ca18  2  2 3.99E-03
  11.6200 Ca18  2  4 7.98E-03
  11.6500 Fe22  2  2 1.07E-01
  11.6700 Fe22  4  4 1.33E-01
  11.7074 F  9  2  4 9.30E-03
  11.7076 F  9  2  2 4.65E-03
  11.7700 Fe22  2  4 6.80E-01
  11.8100 Fe22  4  2 2.62E-02
  11.9200 Fe22  4  6 6.04E-01
  11.9300 Fe22  4  4 6.71E-02
  11.9882 F  9  2  4 1.93E-02
  11.9886 F  9  2  2 9.67E-03
  11.9900 Ca18  2  2 6.74E-03
  11.9900 Ca18  2  4 1.35E-02
  12.1200 Fe17  1  3 7.42E-01
  12.1321 Ne10  2  4 2.77E-01
  12.1375 Ne10  2  2 1.39E-01
  12.2590 Fe21  3  5 1.33E-01
  12.2850 Fe21  1  3 9.70E-01
  12.3250 Fe21  5  5 2.37E-01
  12.3250 Fe21  3  5 7.25E-01
  12.3800 Fe21  5  7 8.09E-01
  12.3920 Fe21  5  5 1.44E-01
  12.3970 Fe21  3  3 2.40E-01
  12.4650 Fe21  5  3 9.56E-03
  12.6360 Ca18  2  2 1.30E-02
  12.6360 Ca18  2  4 2.60E-02
  12.6434 F  9  2  4 5.27E-02
  12.6445 F  9  2  2 2.63E-02
  12.8200 Fe20  4  4 6.29E-01
  12.8200 Fe20  4  6 9.44E-01
  12.8300 Fe18  4  4 2.23E-02
  12.8440 Fe18  4  2 4.45E-03
  12.8470 Fe18  4  6 4.90E-02
  12.8810 Fe18  4  4 5.43E-03
  13.0010 Fe18  2  4 8.80E-03
  13.0150 Fe18  2  2 1.76E-02
  13.0530 Fe18  2  4 5.36E-02
  13.1430 F  8  1  3 4.37E-03
  13.1590 Fe18  4  2 4.87E-02
  13.1850 F  8  1  3 6.26E-03
  13.2150 Fe18  4  4 1.59E-02
  13.2440 F  8  1  3 9.43E-03
  13.3190 Fe18  4  2 1.84E-02
  13.3340 F  8  1  3 1.52E-02
  13.3390 Fe18  2  2 4.80E-02
  13.3550 Fe18  4  4 9.18E-02
  13.3740 Fe18  4  6 1.41E-01
  13.3970 Fe18  2  4 1.57E-01
  13.4471 Ne 9  1  3 7.24E-01
  13.4880 F  8  1  3 2.70E-02
  13.5030 Fe18  2  2 7.26E-02
  13.5410 Fe18  2  4 3.62E-02
  13.7810 F  8  1  3 5.57E-02
  13.8230 Fe17  1  3 3.31E-01
  13.9190 Fe18  4  4 2.56E-02
  13.9540 Fe18  4  6 2.30E-01
  14.0490 Ca18  2  4 6.26E-02
  14.0590 Ca18  2  2 3.13E-02
  14.1210 Fe18  2  4 2.52E-01
  14.1360 Fe18  4  2 1.27E-01
  14.1520 Fe18  4  4 1.05E-01
  14.2030 Fe18  4  6 9.39E-01
  14.2080 Fe18  4  4 6.33E-01
  14.2570 Fe18  4  2 1.99E-01
  14.3440 Fe18  2  2 5.01E-01
  14.3500 Fe19  5  5 2.77E-02
  14.3610 Fe18  2  4 1.04E+00
  14.3716 O  8  2  4 1.07E-03
  14.3717 O  8  2  2 5.35E-04
  14.3730 Fe18  4  6 3.52E-01
  14.3940 Fe18  4  4 3.81E-02
  14.4057 O  8  2  4 1.48E-03
  14.4058 O  8  2  2 7.38E-04
  14.4180 Fe18  2  4 2.50E-01
  14.4400 Fe19  5  3 9.18E-03
  14.4537 O  8  2  4 2.12E-03
  14.4538 O  8  2  2 1.06E-03
  14.4580 F  8  1  3 1.48E-01
  14.4680 Fe18  2  2 1.96E-01
  14.5242 O  8  2  4 3.21E-03
  14.5243 O  8  2  2 1.60E-03
  14.5300 Fe19  3  5 1.52E-02
  14.6000 Fe19  1  3 3.63E-02
  14.6100 Fe18  2  4 1.51E-02
  14.6300 Fe19  3  3 9.06E-03
  14.6343 O  8  2  4 5.20E-03
  14.6344 O  8  2  2 2.60E-03
  14.6700 Fe19  3  1 1.20E-02
  14.6700 Fe19  5  7 5.16E-02
  14.7300 Fe19  5  3 6.11E-04
  14.7300 Fe19  5  5 9.15E-03
  14.8205 O  8  2  4 9.30E-03
  14.8207 O  8  2  2 4.65E-03
  14.9000 Fe19  1  3 6.04E-02
  14.9300 Fe19  3  3 1.50E-02
  14.9300 Fe19  3  5 4.52E-02
  14.9700 Fe19  5  3 3.93E-02
  14.9823 F  9  2  4 2.77E-01
  14.9877 F  9  2  2 1.39E-01
  15.0150 Fe17  1  3 2.95E+00
  15.1400 Fe19  1  3 3.88E-02
  15.1700 Fe19  3  3 3.88E-02
  15.1760 O  8  2  4 1.93E-02
  15.1765 O  8  2  2 9.67E-03
  15.2090 Fe18  4  2 1.26E-02
  15.4500 Fe18  2  2 1.23E-02
  15.6160 Fe18  4  4 6.39E-03
  15.6250 Fe18  4  6 5.76E-02
  15.7660 Fe18  4  2 1.67E-02
  15.8700 Fe18  2  4 6.29E-02
  16.0050 Fe18  4  4 8.20E-02
  16.0055 O  8  2  4 5.27E-02
  16.0067 O  8  2  2 2.63E-02
  16.0260 Fe18  2  2 6.55E-02
  16.2720 Fe18  2  4 3.23E-02
  16.8070 F  8  1  3 7.11E-01
  16.9223 O  7  1  3 3.14E-03
  16.9584 O  7  1  3 4.34E-03
  17.0092 O  7  1  3 6.22E-03
  17.0860 O  7  1  3 9.37E-03
  17.2000 O  7  1  3 1.51E-02
  17.3960 O  7  1  3 2.68E-02
  17.7680 O  7  1  3 5.52E-02
  18.6288 O  7  1  3 1.46E-01
  18.6910 Ca18  2  4 2.49E-01
  18.7320 Ca18  2  2 1.24E-01
  18.7747 N  7  2  2 5.35E-04
  18.7747 N  7  2  4 1.07E-03
  18.8180 Ar15  1  3 1.66E-01
  18.8193 N  7  2  2 7.38E-04
  18.8193 N  7  2  4 1.48E-03
  18.8819 N  7  2  4 2.12E-03
  18.8820 N  7  2  2 1.06E-03
  18.9671 O  8  2  4 2.77E-01
  18.9725 O  8  2  2 1.39E-01
  18.9741 N  7  2  4 3.21E-03
  18.9742 N  7  2  2 1.60E-03
  19.1179 N  7  2  4 5.20E-03
  19.1180 N  7  2  2 2.60E-03
  19.3612 N  7  2  4 9.30E-03
  19.3614 N  7  2  2 4.65E-03
  19.5600 Ca17  1  3 6.54E-01
  19.8257 N  7  2  4 1.93E-02
  19.8261 N  7  2  2 9.67E-03
  20.8600 Ca16  2  4 5.04E-02
  20.9095 N  7  2  4 5.27E-02
  20.9106 N  7  2  2 2.63E-02
  20.9500 Ca16  2  2 1.00E-01
  21.0200 Ca16  4  4 1.25E-01
  21.1100 Ca16  4  2 2.49E-02
  21.1470 Ar14  4  6 1.14E-01
  21.4500 Ca16  2  4 6.63E-01
  21.6019 O  7  1  3 6.96E-01
  21.6100 Ca16  4  6 5.92E-01
  21.6200 Ca16  4  4 6.57E-02
  22.3730 Ar15  1  3 3.31E-02
  22.5500 Ca15  1  3 3.06E-01
  22.6350 Ca15  3  5 1.27E-01
  22.6400 Ca15  3  3 7.63E-02
  22.7300 Ca15  5  5 2.29E-01
  22.7300 Ca15  1  3 9.27E-01
  22.7350 Ca15  5  3 7.60E-02
  22.7590 Ca15  3  5 6.95E-01
  22.7770 Ca15  5  7 7.78E-01
  22.8210 Ca15  3  3 2.31E-01
  22.8540 Ca15  5  5 1.38E-01
  22.9170 Ca15  5  3 9.20E-03
  22.9700 Ar13  3  5 2.58E-02
  23.0051 S 14  2  4 6.03E-02
  23.0151 S 14  2  2 3.01E-02
  23.0300 Ar13  5  5 4.62E-02
  23.5700 Ar13  3  5 4.10E-03
  23.6370 Ar13  5  5 7.35E-03
  23.7300 S 12  4  6 1.31E-02
  23.7710 N  6  1  3 5.46E-02
  24.0860 Ca14  4  4 5.98E-01
  24.1330 Ca14  4  6 8.95E-01
  24.4200 S 12  4  6 2.17E-02
  24.5900 S 13  1  3 1.61E-01
  24.7370 Ar15  1  3 6.36E-01
  24.7792 N  7  2  4 2.77E-01
  24.7846 N  7  2  2 1.39E-01
  24.9000 N  6  1  3 1.44E-01
  25.0400 Ar12  4  6 1.91E-01
  25.3270 Ca11  1  3 6.52E-01
  25.4200 Ar14  2  4 5.10E-02
  25.5100 Ca13  5  5 8.39E-02
  25.5300 Ca13  5  7 4.70E-01
  25.5500 Ca13  5  3 5.59E-03
  25.5587 C  6  2  4 1.07E-03
  25.5588 C  6  2  2 5.35E-04
  25.5670 Ar14  4  4 1.27E-01
  25.5700 S 12  2  4 4.20E-02
  25.6194 C  6  2  4 1.48E-03
  25.6195 C  6  2  2 7.38E-04
  25.6585 Si12  2  4 7.65E-03
  25.6598 Si12  2  2 3.83E-03
  25.6600 S 12  4  4 4.18E-03
  25.6600 S 12  4  6 3.77E-02
  25.6700 Ca13  3  5 4.17E-01
  25.6900 Ca13  5  3 1.32E-02
  25.7048 C  6  2  2 1.06E-03
  25.7048 C  6  2  4 2.12E-03
  25.7100 Ca13  3  3 1.39E-01
  25.7100 Ca13  5  5 3.94E-02
  25.7400 Ca13  1  3 5.55E-01
  25.8302 C  6  2  4 3.21E-03
  25.8303 C  6  2  2 1.60E-03
  25.8500 Ca13  3  3 1.31E-02
  25.8700 Ca13  3  5 2.18E-02
  25.8800 Ca13  1  3 5.21E-02
  25.8800 Ca13  5  3 1.71E-01
  25.9600 Ca13  5  3 1.26E-01
  25.9700 Ca13  5  5 3.76E-01
  26.0260 C  6  2  4 5.20E-03
  26.0261 C  6  2  2 2.60E-03
  26.0300 Ca13  5  7 4.49E-01
  26.0400 Ca13  3  3 1.70E-01
  26.0600 Ca13  5  5 8.01E-02
  26.0700 Ca13  1  3 1.69E-01
  26.1200 Ca13  5  3 5.33E-03
  26.1300 Ca13  3  3 1.25E-01
  26.1300 Ca13  3  5 2.08E-01
  26.1600 Ca13  1  3 4.98E-01
  26.2090 Ar13  1  3 4.76E-02
  26.2200 Ca13  3  5 3.98E-01
  26.2770 Ar13  3  3 4.75E-02
  26.2900 Ca13  3  3 1.32E-01
  26.3200 Ca13  1  3 5.29E-01
  26.3572 C  6  2  4 9.30E-03
  26.3574 C  6  2  2 4.65E-03
  26.3600 Ar13  5  3 4.73E-02
  26.4420 Ca11  1  3 2.86E-02
  26.4460 Ar13  3  5 5.12E-02
  26.4564 Si12  2  4 1.29E-02
  26.4585 Si12  2  2 6.45E-03
  26.5300 Ar13  5  5 9.18E-02
  26.7200 Ca13  5  7 2.04E-01
  26.7500 Ca13  5  5 3.63E-02
  26.8900 S 12  4  6 5.93E-02
  26.9200 Ca13  3  5 1.81E-01
  26.9620 Ca11  1  3 3.04E-01
  26.9896 C  6  2  4 1.93E-02
  26.9901 C  6  2  2 9.67E-03
  27.3800 Ca12  4  4 1.83E-02
  27.4130 Ca12  4  6 1.65E-01
  27.4420 Ar13  1  3 2.00E-01
  27.4700 Ar14  2  4 6.54E-01
  27.5170 Ar13  3  3 4.99E-02
  27.5170 Ar13  3  5 1.49E-01
  27.6070 Ca12  2  4 1.81E-01
  27.6080 Ar13  5  3 1.99E-03
  27.6080 Ar13  5  5 2.98E-02
  27.6080 Ar13  5  7 1.66E-01
  27.6290 Ar14  4  6 5.85E-01
  27.6420 Ar14  4  4 6.50E-02
  27.8800 Fe16  2  4 5.02E-03
  27.8950 Ca12  4  4 8.57E-02
  27.8967 Si12  2  4 2.47E-02
  27.9006 Si12  2  2 1.23E-02
  27.9730 Ca12  4  6 7.70E-01
  27.9730 Ca12  4  4 5.34E-01
  28.0950 Ca12  4  2 1.76E-01
  28.1310 Ca12  2  4 8.50E-01
  28.2100 Ca12  2  4 2.12E-01
  28.2220 S 12  2  4 1.26E-01
  28.3270 S 12  4  4 1.25E-02
  28.3270 S 12  4  6 1.12E-01
  28.3350 Ca12  2  2 1.74E-01
  28.4652 C  6  2  4 5.27E-02
  28.4663 C  6  2  2 2.63E-02
  28.4766 Si11  1  3 4.01E-03
  28.4780 Ca12  4  6 3.47E-01
  28.5050 Ca12  4  4 3.82E-02
  28.6160 Ca12  4  4 3.84E-02
  28.6700 Fe16  2  4 7.55E-03
  28.6800 Ca12  4  2 7.59E-03
  28.7510 Ca12  2  4 1.52E-02
  28.7870 N  6  1  3 6.75E-01
  28.8640 Ca12  2  4 3.81E-01
  28.9160 Ca13  5  7 5.45E-02
  28.9260 S 13  1  3 3.32E-02
  28.9300 Ca12  2  2 3.01E-02
  28.9590 Ca13  5  5 9.72E-03
  28.9630 Ca13  5  3 6.48E-04
  29.0440 Ar10  4  4 3.39E-03
  29.1040 Ar10  4  6 3.04E-02
  29.1180 Ar13  1  3 3.01E-01
  29.1650 Ca13  3  5 4.83E-02
  29.1690 Ca13  3  3 1.61E-02
  29.1910 Ar13  3  1 9.98E-02
  29.1970 Ar10  2  4 3.37E-02
  29.2020 Ar13  3  3 7.48E-02
  29.2070 Ca13  1  3 6.43E-02
  29.2170 Ar13  3  5 1.25E-01
  29.2930 Ar14  2  2 2.23E-02
  29.3050 Ar13  5  3 7.47E-02
  29.3200 Ar13  5  5 2.23E-01
  29.3200 Ar13  1  3 9.08E-01
  29.3500 Ar13  3  5 6.81E-01
  29.3700 Ar13  5  7 7.62E-01
  29.4050 Ar13  3  3 2.26E-01
  29.4160 Al11  2  2 1.67E-03
  29.4160 Al11  2  4 3.34E-03
  29.4540 Ar13  5  5 1.36E-01
  29.4890 Ar14  4  2 2.21E-02
  29.5100 Ar13  5  3 9.03E-03
  29.6330 Ca13  5  3 4.21E-02
  29.7930 Al11  2  2 2.44E-03
  29.7930 Al11  2  4 4.88E-03
  29.8490 Ca13  3  3 4.18E-02
  29.8890 Ca13  1  3 4.17E-02
  29.9300 Fe16  2  4 1.22E-02
  30.0770 S 13  1  3 2.61E-02
  30.3218 Si11  1  3 6.09E-02
  30.3760 Al11  2  2 3.79E-03
  30.3760 Al11  2  4 7.59E-03
  30.4270 S 14  2  4 2.37E-01
  30.4468 Ca11  1  3 2.34E+00
  30.4690 S 14  2  2 1.19E-01
  30.5800 Ar12  4  6 1.23E-01
  30.7730 Ca12  4  2 1.24E-02
  30.9060 Ar10  4  4 1.05E-02
  30.9600 Ar10  4  6 9.42E-02
  31.0121 Si12  2  4 5.89E-02
  31.0227 Si12  2  2 2.94E-02
  31.0540 S 11  5  7 1.65E-01
  31.0600 Ca12  2  2 1.23E-02
