#Fluorescent yield data from Kaastra and Mewe 1993A&AS...97..443K
label    z  state  s   delta  il    E      omega
  187   12    6    2     0    5      14.6   0.6667
  188   12    6    2     0    6      14.6   0.3333
  189   12    7    1     0    1    1302.9   0.0569
  190   12    7    1     1    5      17.5   1.2872
  191   12    7    2     0    5      16.0   1.0000
  192   12    8    1     0    1    1304.1   0.0424
  193   12    8    1     1    5      62.1   0.6188
  194   12    8    2     0    5      17.5   1.0000
  195   13    1    1     0    1    1486.6   0.0125
  196   13    1    1     0    2    1487.0   0.0250
  197   13    1    1     0    3    1558.1   0.0004
  198   13    1    1     3    5      44.1   0.0001
  199   13    1    1     3    6      44.5   0.0002

  200   13    1    1     1    9      71.6   0.0002
  201   13    1    1     2    9      75.0   0.0269
  202   13    1    1     3    9      92.0   0.0082
  203   13    1    1     0   12      66.4   0.0001
  204   13    1    1     1   12      71.2   0.0013
  205   13    1    1     2   12      74.6   0.3635
  206   13    1    1     3   12      91.6   0.0111
  207   13    1    2     1    9      71.6   0.0005
  208   13    1    2     1   12      71.2   0.0083
  209   13    1    3     0    9      66.8   0.0005
  210   13    1    4     0   12      66.4   0.0044
  211   13    2    1     0    1    1499.7   0.0127
  212   13    2    1     0    2    1500.0   0.0255
  213   13    2    1     2    5      44.1   0.0270
  214   13    2    1     2    6      44.5   0.0544
  215   13    2    1     0    9      71.6   0.0001
  216   13    2    1     1    9      75.0   0.0097
  217   13    2    1     2    9      92.0   0.1153
  218   13    2    1     0   12      71.2   0.0002
  219   13    2    1     1   12      74.6   0.0195
  220   13    2    1     2   12      91.6   0.2264
  221   13    2    2     0    6      44.0   0.0001
  222   13    2    2     1    9      75.0   0.3385
  223   13    2    2     1   12      74.6   0.6506
  224   13    2    3     0    9      71.6   0.0064
  225   13    2    4     0   12      71.2   0.0064
  226   13    3    1     0    1    1514.6   0.0130
  227   13    3    1     0    2    1515.0   0.0260
  228   13    3    1     1    5      44.1   0.1475
  229   13    3    1     1    6      44.5   0.2950
  230   13    3    1     0    9      75.0   0.0130
  231   13    3    1     1    9      92.0   0.3143
  232   13    3    1     0   12      74.6   0.0260
  233   13    3    1     1   12      91.6   0.6286
  234   13    3    2     0    5      44.6   0.0001
  235   13    3    2     0    6      45.0   0.0001
  236   13    3    2     0    9      75.0   0.0001
  237   13    3    2     0   12      74.6   0.0001
  238   13    3    3     0    9      75.0   1.0000
  239   13    3    4     0   12      74.6   1.0000
  240   13    4    1     0    1    1525.5   0.0132
  241   13    4    1     0    2    1526.2   0.0264
  242   13    4    1     1    5      40.1   0.1478
  243   13    4    1     1    6      40.1   0.2957
  244   13    4    2     0    5      44.1   0.3333
  245   13    4    2     0    6      44.5   0.6667
  246   13    5    1     0    1    1538.2   0.0177
  247   13    5    1     0    2    1538.2   0.0265
