 ============================================================
      i NZ NE iSLP jSLP iLV jLV        gF     WL(A)   gi   gj
    160  1  1  211  200   7  10 -2.01E-01 1.621E+05  6.0  2.0
    161  1  1  211  200   8   1  4.43E-03 9.232E+02  6.0  2.0
    162  1  1  211  200   8   2  1.12E-02 3.837E+03  6.0  2.0
    163  1  1  211  200   8   3  2.17E-02 9.232E+03  6.0  2.0
    164  1  1  211  200   8   4  3.96E-02 1.818E+04  6.0  2.0
    165  1  1  211  200   8   5  7.35E-02 3.297E+04  6.0  2.0
    166  1  1  211  200   8   6  1.50E-01 5.908E+04  6.0  2.0
    167  1  1  211  200   8   7  3.76E-01 1.131E+05  6.0  2.0
    168  1  1  211  200   8   8  1.62E+00 2.780E+05  6.0  2.0
    169  1  1  211  200   8   9  0.00E+00 1.000E+30  6.0  2.0
    170  1  1  211  200   8  10 -9.89E-01 3.887E+05  6.0  2.0
    171  1  1  211  200   9   1  3.21E-03 9.210E+02  6.0  2.0
    172  1  1  211  200   9   2  7.98E-03 3.799E+03  6.0  2.0
    173  1  1  211  200   9   3  1.51E-02 9.017E+03  6.0  2.0
    174  1  1  211  200   9   4  2.63E-02 1.737E+04  6.0  2.0
    175  1  1  211  200   9   5  4.55E-02 3.039E+04  6.0  2.0
    176  1  1  211  200   9   6  8.20E-02 5.129E+04  6.0  2.0
    177  1  1  211  200   9   7  1.64E-01 8.760E+04  6.0  2.0
    178  1  1  211  200   9   8  4.10E-01 1.621E+05  6.0  2.0
    179  1  1  211  200   9   9  1.75E+00 3.887E+05  6.0  2.0
    180  1  1  211  200   9  10  0.00E+00 1.000E+30  6.0  2.0
    181  1  1  220  211   1   1  4.18E+00 6.565E+03 10.0  6.0
    182  1  1  220  211   1   2  0.00E+00 1.000E+30 10.0  6.0
    183  1  1  220  211   1   3 -1.10E-01 1.876E+04 10.0  6.0
    184  1  1  220  211   1   4 -2.21E-02 1.282E+04 10.0  6.0
    185  1  1  220  211   1   5 -8.42E-03 1.094E+04 10.0  6.0
    186  1  1  220  211   1   6 -4.21E-03 1.005E+04 10.0  6.0
    187  1  1  220  211   1   7 -2.45E-03 9.549E+03 10.0  6.0
    188  1  1  220  211   1   8 -1.56E-03 9.232E+03 10.0  6.0
    189  1  1  220  211   1   9 -1.07E-03 9.017E+03 10.0  6.0
    190  1  1  220  211   2   1  7.31E-01 4.863E+03 10.0  6.0
    191  1  1  220  211   2   2  3.71E+00 1.876E+04 10.0  6.0
    192  1  1  220  211   2   3  0.00E+00 1.000E+30 10.0  6.0
    193  1  1  220  211   2   4 -2.78E-01 4.052E+04 10.0  6.0
    194  1  1  220  211   2   5 -5.84E-02 2.626E+04 10.0  6.0
    195  1  1  220  211   2   6 -2.27E-02 2.166E+04 10.0  6.0
    196  1  1  220  211   2   7 -1.15E-02 1.945E+04 10.0  6.0
    197  1  1  220  211   2   8 -6.80E-03 1.818E+04 10.0  6.0
    198  1  1  220  211   2   9 -4.39E-03 1.737E+04 10.0  6.0
    199  1  1  220  211   3   1  2.66E-01 4.342E+03 10.0  6.0
    200  1  1  220  211   3   2  8.35E-01 1.282E+04 10.0  6.0
    201  1  1  220  211   3   3  3.66E+00 4.052E+04 10.0  6.0
    202  1  1  220  211   3   4  0.00E+00 1.000E+30 10.0  6.0
    203  1  1  220  211   3   5 -4.80E-01 7.460E+04 10.0  6.0
    204  1  1  220  211   3   6 -1.03E-01 4.654E+04 10.0  6.0
